Vg (V),Isd (A)
0.34,9.9831428e-05
0.33,9.9820587e-05
0.32,9.9831428e-05
0.31,9.9820587e-05
0.3,9.9809738e-05
0.29,9.979889e-05
0.28,9.979889e-05
0.27,9.9788042e-05
0.26,9.9755496e-05
0.25,9.9733807e-05
0.24,9.9733807e-05
0.23,9.971211e-05
0.22,9.9690405e-05
0.21,9.9668716e-05
0.2,9.9636178e-05
